rule,chunk_index,sentence
FREEDOM_RULE,0,i am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation
EMOTION_POS_RULE,0,i am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation
PEOPLE_RULE,0,i am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation
HOPE_RULE,1,this momentous decree came as a great beacon light of hope to millions of negro slaves who had been seared in the flames of withering injustice
METAPHOR_RULE,3,in a sense we've come to our nation's capital to cash a check
METAPHOR_RULE,3,"instead of honoring this sacred obligation, america has given the negro people a bad check, a check which has come back marked ""insufficient funds"
PEOPLE_RULE,3,in a sense we've come to our nation's capital to cash a check
PEOPLE_RULE,3,"instead of honoring this sacred obligation, america has given the negro people a bad check, a check which has come back marked ""insufficient funds"
FREEDOM_RULE,4,"and so, we've come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice"
JUSTICE_RULE,4,but we refuse to believe that the bank of justice is bankrupt
JUSTICE_RULE,4,"and so, we've come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice"
METAPHOR_RULE,4,but we refuse to believe that the bank of justice is bankrupt
METAPHOR_RULE,4,"and so, we've come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice"
PEOPLE_RULE,4,we refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation
JUSTICE_RULE,5,now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice
JUSTICE_RULE,5,now is the time to make justice a reality for all of god's children
REPETITION_RULE,5,now is the time to make real the promises of democracy
REPETITION_RULE,5,now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice
REPETITION_RULE,5,now is the time to lift our nation from the quicksands of racial injustice to the solid rock of brotherhood
REPETITION_RULE,5,now is the time to make justice a reality for all of god's children
PEOPLE_RULE,5,now is the time to lift our nation from the quicksands of racial injustice to the solid rock of brotherhood
PEOPLE_RULE,5,now is the time to make justice a reality for all of god's children
FREEDOM_RULE,6,this sweltering summer of the negro's legitimate discontent will not pass until there is an invigorating autumn of freedom and equality
FREEDOM_RULE,6,let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred
JUSTICE_RULE,6,the whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges
JUSTICE_RULE,6,"but there is something that i must say to my people, who stand on the warm threshold which leads into the palace of justice: in the process of gaining our rightful place, we must not be guilty of wrongful deeds"
HOPE_RULE,6,and those who hope that the negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual
EMOTION_NEG_RULE,6,let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred
REPETITION_RULE,6,"but there is something that i must say to my people, who stand on the warm threshold which leads into the palace of justice: in the process of gaining our rightful place, we must not be guilty of wrongful deeds"
REPETITION_RULE,6,we must forever conduct our struggle on the high plane of dignity and discipline
REPETITION_RULE,6,we must not allow our creative protest to degenerate into physical violence
REPETITION_RULE,6,"again and again, we must rise to the majestic heights of meeting physical force with soul force"
PEOPLE_RULE,6,it would be fatal for the nation to overlook the urgency of the moment
PEOPLE_RULE,6,and those who hope that the negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual
PEOPLE_RULE,6,the whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges
